IUPPUPRNZ,BNFVZFRZUUPOI,20190604000754,002,000,ION
IPOZPNPVLIII,BURVDUZNZUUZFFVFNVOI,20190604000753,002,000,IPO
IOIPZVOULZLZ,BNFVZFUZNFPZO,20190604000751,002,000,IOI
ZNPFFFOLV,BNFVZNFPLVZZU,20190604000750,002,000,ION
VNNVVRPIF,BURVZNNVNLUUU,20190604000749,002,000,ION
NVUVLOOPPPP,BNFVZNLRILIOL,20190604000749,002,000,NVUV
ZILOVLZVR,BNFVZNNFFLPUU,20190604000748,002,000,ION
IIFZPUIUORI,BNFVZNNIURNFV,20190604000746,002,000,II
ZIPUVFVLL,BNFVZFUZRUFOFR,20190604000745,002,000,ION
IIFVOVROILI,BNFVZNZONOLII,20190604000743,002,000,II
NPRROUIZFIL,BNFVZNNIULOOV,20190604000742,002,000,NPRR
ZNPLUIOFN,BNFVZNZVURUUO,20190604000742,002,000,ION
IZURRNOINZZN,BNFVZVUVVPVLP,20190604000741,002,000,IZ
VVOPPLFUFLU,BNFVZVUIFOFFP,20190604000741,002,000,VVO
NVNLLUOFZRP,BNUUZNPIPNIIO,20190604000740,002,000,NVNL
IIFIRRUZZZL,BNFVZIUNILRVR,20190604000739,002,000,II
OONNINOLURVO,BNFVZFUZNFOZO,20190604000738,002,000,OO
IUPPNIIVL,BNFVZVUUNLVLU,20190604000737,002,000,ION
ZIFVOZIOP,BNFVFUZNVOORUNL,20190604000734,002,000,ION
VNVRUURNRLOF,BNFVZFZOPLPVR,20190604000733,002,000,VNV
IOIPRUONRORU,BNFVZNNIULPOP,20190604000732,002,000,IOI
IUPPUOFPL,BNFVZNVNUFRNL,20190604000731,002,000,ION
ZNPLUIOFN,BNFVZNZVURUUO,20190604000730,002,000,ION
NIFUIZVINUU,BNFVZNNIUFNZZ,20190604000728,002,000,NIFU
ILFUUVUVPIL,BNFVZNNIUZUPI,20190604000727,002,000,IL
NPFVLOVRIRV,BNFVZNNIULVLL,20190604000726,002,000,NPFV
VNNZIZZUU,BURVZNNIUFFLP,20190604000725,002,000,ION
LLRLLPPFINVR,BNFVZFVVPLILL,20190604000724,002,000,LL
ZFFVOIZVZ,BNFVZFUZRURRPP,20190604000723,002,000,ION
LVURIRRFLPII,BNFVZNNIULRVF,20190604000722,002,000,LVU
IUPPUPRIF,BNFVZNNIUOVLV,20190604000721,002,000,ION
ZNFVVOUIZ,BNFVZNIUIUOZZ,20190604000720,002,000,ION
NINUZZOROUP,BNFVZNNIUFFOP,20190604000719,002,000,NINU
IIFUZRVOPPL,BNFVZNNIULLFO,20190604000717,002,000,II
ZFRRIPRVLFZR,BNFVZNNIURNPR,20190604000717,002,000,ZFR
ZNIVIUNOZ,BNFVZNNFFLPUU,20190604000716,002,000,ION
ZIPVLVLPV,BNFVZNNFFLPUU,20190604000715,002,000,ION
ZNLFZNVRP,BNFVZNLUROVVF,20190604000713,002,000,ION
VVUNVRUNI,BNFVZNNFFLPUU,20190604000710,002,000,ION
VNNLOUIZR,BNFVZFRIUPVRV,20190604000708,002,000,ION
ZNLLIUOIR,BNFVZFLLNIUIZ,20190604000707,002,000,ION
LZOUFIVRUFOV,BNFVFUZNIZOUZLF,20190604000705,002,000,LZ
ZNIVFPPRP,BURVDUZNZUUZILZIIONP,20190604000704,002,000,ION
ZNFLUVRLV,BNFVZNINLUZPF,20190604000703,002,000,ION
ILFZIOFFNZP,BNFVZNNIUPUPL,20190604000702,002,000,IL
NLUPVOFURUU,BNFVZFUZNFIUU,20190604000700,002,000,NLUP
ZNFZFNRZP,BNFVZNNFZNUUU,20190604000659,002,000,ION
ZNVIIVPPN,BNFVZNLVNORLL,20190604000658,002,000,ION
NLNFLNZOZPL,BNFVZFVVFRIRO,20190604000657,002,000,NLNF
IUPPURINO,BNFVZNLNPLRUP,20190604000656,002,000,ION
LLRIZVRUPULL,BNFVZNNIUOZRF,20190604000655,002,000,LL
LLRLVZZULZZU,BNFVZNOOOVIFR,20190604000655,002,000,LL
IIFUOFRIIZZ,BURVZVUVVIZNN,20190604000653,002,000,II
IOFRRIZLZNL,BNFVZVUVVRNZZ,20190604000651,002,000,IOF
ZNNNZPFII,BNFVZNPRZZIVN,20190604000651,002,000,ION
ILZLIOUZOVF,BNFVZNNIUZUNN,20190604000650,002,000,IL
ZFOPFFLRP,BNFVZNZZUZNPU,20190604000649,002,000,ION
IIFPNNVZNZR,BNFVZNNIURVRO,20190604000647,002,000,II
IOIPFPPUIPNV,BNFVZNNIULUZN,20190604000645,002,000,IOI
IIRFRINPUIU,BNFVZNNIUFIOV,20190604000645,002,000,II
ZNUIZIPVL,BNFVZNPLPLFIN,20190604000643,002,000,ION
OOVNZPVPRLVIV,BNFVZNNIUOVOU,20190604000641,002,000,OO
ZNRPNFORN,BURVZNRPNFOPR,20190604000640,002,000,ION
ZFRRIPRVLFZR,BNFVZNNIURUPO,20190604000639,002,000,ZFR
LLROOIRNLVPN,BNFVZFUNPLNFR,20190604000637,002,000,LL
ZFFFUUINV,BNFVZNOLOLUNF,20190604000637,002,000,ION
LRVIFRNZUU,BNFVZFFPFUUZP,20190604000636,002,000,LR
INFVZNZUOOF,BNFVZNNIURRUL,20190604000634,002,000,IN
IULOUNFIV,BNUUZNZROPNZF,20190604000634,002,000,ION
ZNUUVIZFV,BNFVZNUPUFZFP,20190604000633,002,000,ION
IZUORVRRIIIV,BNFVZVULPVFOV,20190604000632,002,000,IZ
VNVFFNNNOVRV,BNFVZNUNRZNZO,20190604000631,002,000,VNV
IIFPIVORFFN,BNFVZVLVPLVIP,20190604000630,002,000,II
LZOUFIVRUFOV,BNFVZNIZOUZLF,20190604000629,002,000,LZ
ZFFFUUINP,BNFVZNOLOLUNU,20190604000627,002,000,ION
VLLZIROROZRZ,BNFVZNZRRLPRN,20190604000626,002,000,VLL
OONNVNLFVIZZ,BNFVZNNIUPRII,20190604000626,002,000,OO
ZNZLRIINZ,BURVDUZNZUUZIOUVLRLI,20190604000625,002,000,ION
IOIPRUONRORU,BNFVZFURNRRFO,20190604000624,002,000,IOI
VVUOUIZPUV,BNFVZVUUVLRVU,20190604000623,002,000,VVU
NRINLRLZZUZ,BNFVZNNIUPOOP,20190604000620,002,000,NRIN
IUPPUPRNZ,BURVZNNIUZILP,20190604000620,002,000,ION
IIFROOLLNRZ,BNFVZFFUIRNFF,20190604000619,002,000,II
LLRRNOLOUOUL,BNFVZFURILZUR,20190604000619,002,000,LL
VNNZIZZUU,BURVZNNIURVVZ,20190604000618,002,000,ION
NVUNPZPORUR,BNFVZNNIUFURL,20190604000616,002,000,NVUN
NONLOPFNOOL,BNFVZNZIPOUPF,20190604000616,002,000,NONL
IOIPRUFILFUL,BNFVZFURILPFP,20190604000615,002,000,IOI
LNRPFPIVPZZ,BURVZNRLFIPLU,20190604000614,002,000,LN
LLNNLIUIIIVN,BNFVZNNFFLPUU,20190604000612,002,000,LL
IPOVVPPUUUN,BNFVZNNZUINNF,20190604000610,002,000,IPO
LZNRIFLIIPZP,BNFVZNFLFNZZU,20190604000609,002,000,LZ
OONNVNFUZNPN,BNFVZNNIURPLL,20190604000608,002,000,OO
VNNVUVRZN,BNUUVNOPRNUNZ,20190604000607,002,000,ION
ZFNLNOZUN,BURVZVULPPLPL,20190604000606,002,000,ION
ILFFVZZUZNN,BURVZNNIULVPF,20190604000605,002,000,IL
VNNUVNOVP,BNUUZNPZNVFLF,20190604000604,002,000,ION
ZNIFINVIV,BNFVZNRNIORII,20190604000602,002,000,ION
LZNRIFLIIPZP,BNFVZNFLFNZZU,20190604000601,002,000,LZ
IZUNNZPPVRRU,BNFVZVULPPLPL,20190604000559,002,000,IZ
ZIUNNINIO,BNFVZNNZUINNF,20190604000558,002,000,ION
ZNZUPOIPF,BNFVZNRROUFRO,20190604000556,002,000,ION
INFOIPZOIIR,BNFVZNNIUPONF,20190604000554,002,000,IN
VNULILLRZ,BNUUZNFOZRZUL,20190604000553,002,000,ION
VNIOOOUULURR,BNFVZNUVOUNNO,20190604000552,002,000,VNI
ZFNLNOZUN,BURVZVULPPLPL,20190604000550,002,000,ION
ZRNOOOUZIZNZ,BNFVZNNIULFNR,20190604000550,002,000,ZRN
NPFIVVOZPNP,BNFVZNNIUZRUU,20190604000548,002,000,NPFI
ILFFVZZUZNN,BURVZNNIUZNVL,20190604000546,002,000,IL
LNRFORUZFFR,BURVZVUUVOULP,20190604000546,002,000,LN
ZNOLRFUFZ,BNFVZNZNUUOUR,20190604000544,002,000,ION
IOPOULOFRPLU,BNFVZVLLPNIRN,20190604000544,002,000,IOP
ZIRNNZFNN,BNFVZVUOUIOON,20190604000543,002,000,ION
ZNIFFLZLO,BNFVZNNFFLPUU,20190604000542,002,000,ION
NVVFVVLIUPZ,BNFVZNNIUFPLF,20190604000541,002,000,NVVF
ILFFVZZUZNN,BURVZNNIUORIN,20190604000541,002,000,IL
NLIRVNROONR,BNFVZNIIFOPVV,20190604000539,002,000,NLIR
ZNINRZZIP,BNFVZNZVVUPNV,20190604000537,002,000,ION
ZNVVPPZZV,BNFVZNNFFLPUU,20190604000536,002,000,ION
LZNONRVIUVPOL,BNFVZNNIURIFO,20190604000535,002,000,LZ
IULOUNFIF,BNUUZVUNRUURP,20190604000534,002,000,ION
LVURRRIONNPN,BNFVZNNIUPIIP,20190604000531,002,000,LVU
ZRRZPNPUIOZZZ,BNUUZVUOIOVUR,20190604000530,002,000,ZRR
IZRNNZZUZZFF,BNFVZNUPVLVZL,20190604000529,002,000,IZ
ZNPNIUNUU,BNFVZNIZRRFFP,20190604000529,002,000,ION
IIFVOVROILI,BNFVZNZONOLII,20190604000529,002,000,II
IULOUNFIR,BNUUZVULPUVVP,20190604000527,002,000,ION
NIILVVNUUVP,BNFVZNNIUFIUF,20190604000526,002,000,NIIL
NVUIOUVZFLF,BNFVZNNIURZUO,20190604000526,002,000,NVUI
