Code,Value,DateTime,Window
ILFFVZZUZNN,32.0,2019-06-28 23:44:11,2
VNNZIZZUU,31.0,2019-06-28 23:44:11,2
IUPPUOULU,24.0,2019-06-28 23:44:11,2
IUPPUPRVP,24.0,2019-06-28 23:44:11,2
IUPPUPFRP,18.0,2019-06-28 23:44:11,2
