Code,Value,DateTime,Window
VNNZIZZUU,16.0,2019-06-28 23:51:46,1
ILFFVZZUZNN,13.0,2019-06-28 23:51:46,1
IUPPUPRVP,13.0,2019-06-28 23:51:46,1
VNULILLRZ,10.0,2019-06-28 23:51:46,1
IUPPURFUZ,9.0,2019-06-28 23:51:46,1
