ANumber,Count,DateTime
ZIOFIOIPO,8.0,20190628235146
ILFFVZZUZNN,7.0,20190628235146
VNNZIZZUU,7.0,20190628235146
ZNPVNIVPL,6.0,20190628235146
IUPPUPRVP,6.0,20190628235146
ZNORULULU,5.0,20190628235146
IPOZNLOLOFFF,5.0,20190628235146
ILFLONIPOIO,5.0,20190628235146
IUPPUPRIF,4.0,20190628235146
NPFFLIUFNUO,4.0,20190628235146
NVPZVVLZPUU,4.0,20190628235146
ZNOULUZIP,4.0,20190628235146
ZIONURZVZ,4.0,20190628235146
LZNOVNORUNRFV,4.0,20190628235146
VILNZLPIO,4.0,20190628235146
ZNPFFVFVO,3.0,20190628235146
ZNUILIULZ,3.0,20190628235146
IUPPUOULU,3.0,20190628235146
IZIINVIZLZFP,3.0,20190628235146
NLUPFIZRVFI,3.0,20190628235146
IUPPURFUZ,3.0,20190628235146
ZNVNVPROR,3.0,20190628235146
IOIPORVVPNIZ,3.0,20190628235146
VNULILLRZ,3.0,20190628235146
ILFUFZFVONZ,3.0,20190628235146
VLLZINFLIZPN,3.0,20190628235146
ZNILRZVVO,3.0,20190628235146
LLROPLFRPONR,3.0,20190628235146
LLRRRNLFUPUF,3.0,20190628235146
ZNINNRZPI,3.0,20190628235146
